Category ID,Category,Category Description,Top Level
3001,Yarn,Parent Category,1
300101,Yarn Weight,Yarns,0
300102,Fiber Content,Yarns,0
300106,Sock,Yarns,0
300107,Feltable,Yarns,0
300109,Sale Yarn,Yarns,0
300110,Bare - Dye Your Own,Yarns,0
300112,Newest Yarn Lines,Yarns,0
300115,Multi-Colored,Yarns,0
300129,Roving,Yarns,0
300130,Yarn Colors,Yarns,0
300132,New Colors,Yarns,0
300133,Natural,Yarns,0
300136,Discontinued Colors,Yarns,0
300138,Tweed Blends,Yarns,0
300150,Featured Yarn Families,Yarns,0
300151,Eco Yarn,Yarns,0
300158,City Tweed,Yarns,0
300163,Best Value,Yarns,0
300164,Washable,Yarns,0
300165,Luxury,Yarns,0
300175,Yarn Color,Yarns,0
300178,Lion Brand Yarn,Yarns,0
300181,SHANIKO15,Yarns,0
300184,Baby Yarns,Yarns,0
300185,Self-Striping,Yarns,0
300198,View All Yarns,Yarns,0
3002,Patterns,Parent Category,1
300207,Knit Picks Exclusive eBooks,Patterns,0
300213,Independent Designer Showcase,Patterns,0
300214,Knit Picks Exclusive $1 Patterns,Patterns,0
300218,Free Knitting Patterns,Patterns,0
300220,New,Patterns,0
300226,Knit Picks Exclusives,Patterns,0
300229,Independent Designers,Patterns,0
300239,View All eBooks,Patterns,0
300250,Free Crochet Patterns,Patterns,0
300251,Technique,Patterns,0
300252,Project Type,Patterns,0
300256,Free Dishcloth Patterns,Patterns,0
300265,HueShiftCrochet,Patterns,0
300267,Pattern Flash Sale,Patterns,0
300268,Designer Spotlight,Patterns,0
300298,View All Patterns,Patterns,0
3003,Needles,Parent Category,1
300301,Needle Sets,Needles,0
300302,Fixed Circular Needles,Needles,0
300303,Double Pointed Needles,Needles,0
300304,Straight Needles,Needles,0
300305,Nickel-Plated Needles,Needles,0
300312,Interchangeable Needles,Needles,0
300314,Crochet Hooks,Needles,0
300319,Wood Needles,Needles,0
300341,About Knit Picks Needles,Needles,0
300342,Instructional Videos,Needles,0
300343,Find a Retail Shop,Needles,0
300347,Birch,Needles,0
300348,US 19 (15.0mm),Needles,0
300353,US 50 (25.0mm),Needles,0
300356,Short Interchangeable Needles,Needles,0
300358,Aluminum Needles,Needles,0
